"header"	"created"	"author"	"topic"	"path"	"source"
"«Я ОБЕЩАЛ ВЕРНУТЬСЯ, МАМА…»"	"29.05.2015"	"Александр КАЗАКОВ"	"Наши земляки"	"2015/May/2984.txt"	"http://desnyanka.ru/nashi_zemlyaki/3264-ya-obeshhal-vernutsya-mama-3264.html"
"КТО ЕСТЬ КТО В БРЯНСКОМ ПРАВИТЕЛЬСТВЕ: АЛЕКСАНДР РЕЗУНОВ"	"29.05.2015"	"Интернет-газет"	"Народ и власть"	"2015/May/2985.txt"	"http://desnyanka.ru/narod_i_vlast/3263-kto-est-kto-v-bryanskom-pravitelstve-aleksandr-rezunov-3263.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"29.05.2015"	"Noname"	"Народ и власть"	"2015/May/2986.txt"	"http://desnyanka.ru/narod_i_vlast/3262-v-pravitelstve-oblasti-3262.html"
"В БРЯНСКОЙ ОБЛАСТИ СОЗДАНА РАБОЧАЯ ГРУППА ОНФ ПО ЗАЩИТЕ ЛЕСА"	"29.05.2015"	"Татьяна Лытенкова"	"Народ и власть"	"2015/May/2987.txt"	"http://desnyanka.ru/narod_i_vlast/3261-v-bryanskoj-oblasti-sozdana-rabochaya-gruppa-onf-po-zashhite-lesa-3261.html"
"НА БРЯНЩИНЕ БУДУТ ЧЕСТВОВАТЬ ЛУЧШИХ  РАБОТОДАТЕЛЕЙ"	"29.05.2015"	"Noname"	"Службы информируют"	"2015/May/2988.txt"	"http://desnyanka.ru/sluzhbi_informiruut/3260-na-bryanshhine-budut-chestvovat-luchshix-rabotodatelej-3260.html"
"ДЕНЬ СЕМЬИ В КРУГУ СЕМЬИ…"	"29.05.2015"	"Елена Артикуленко"	"Наши земляки"	"2015/May/2989.txt"	"http://desnyanka.ru/nashi_zemlyaki/3259-den-semi-v-krugu-semi-3259.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"28.05.2015"	"Noname"	"Народ и власть"	"2015/May/2990.txt"	"http://desnyanka.ru/narod_i_vlast/3257-v-pravitelstve-oblasti-3257.html"
"Брянский Фонд Микрозаймов упростил условия получения микрозаймов и стал ближе к предпринимателям!"	"28.09.2012"	"Noname"	"Информация"	"2012/September/2991.txt"	"http://desnyanka.ru/informaciya/818-BryanskiyFondMikrozaymovuprostilusloviyapolucheniyamikrozaymovistalblizhekpredprinimatelyam.html"
"УСПЕХ — МОЕ ДЕЛО!"	"28.09.2012"	"Noname"	"Информация"	"2012/September/2992.txt"	"http://desnyanka.ru/informaciya/817-USPEHMOEDELO.html"
"МОЛОДЕЖНЫМ ИНИЦИАТИВАМ – ПОДДЕРЖКУ"	"28.09.2012"	"Noname"	"Народ и власть"	"2012/September/2993.txt"	"http://desnyanka.ru/narod_i_vlast/816-molodezhniminitsiativampodderzhku.html"
"ЖИЛЬЁ, ДОРОГИ И НЕ ТОЛЬКО"	"28.09.2012"	"Noname"	"Район: день за днем"	"2012/September/2994.txt"	"http://desnyanka.ru/rayon_den_za_dnem/815-ZHILEDOROGIINETOLKO.html"
"САНАТОРИЙ ВСТУПИТ В СТРОЙ"	"28.09.2012"	"Noname"	"Район: день за днем"	"2012/September/2995.txt"	"http://desnyanka.ru/rayon_den_za_dnem/814-SANATORIYVSTUPITVSTROY.html"
"СЛУЖИТЬ В АРМИИ – ПРЕСТИЖНО"	"28.09.2012"	"Noname"	"В администрации района"	"2012/September/2996.txt"	"http://desnyanka.ru/v_administracii_rayona/813-sluzhitvarmiiprestizhno.html"
"БРЯНСКИЙ РАЙОН ВЫСТУПИЛ ДОСТОЙНО!"	"28.09.2012"	"Noname"	"Спорт"	"2012/September/2997.txt"	"http://desnyanka.ru/sport/812-BRYANSKIYRAYONVISTUPILDOSTOYNO.html"
"ТРЕНИРОВКА ПО ГРАЖДАНСКОЙ ОБОРОНЕ"	"28.09.2012"	"Noname"	"Информация"	"2012/September/2998.txt"	"http://desnyanka.ru/informaciya/811-trenirovkapogrzhdanskoyoborone.html"
"Проект, посвященный памяти советского композитора и певца Владимира Мигули "	"24.09.2012"	"Noname"	"Разное"	"2012/September/2999.txt"	"http://desnyanka.ru/raznoe/810-ProektposvyashchenniypamyatisovetskogokompozitoraipevtsaVladimiraMiguli.html"
"«БЛАГОЕ ДЕЛО»"	"21.09.2012"	"Noname"	"Район: день за днем"	"2012/September/3000.txt"	"http://desnyanka.ru/rayon_den_za_dnem/809-BLAGOEDELO.html"
"НА ДОРОГАХ ОБЛАСТИ"	"17.02.2016"	"Noname"	"Службы информируют"	"2016/February/3001.txt"	"http://desnyanka.ru/sluzhbi_informiruut/4076-na-dorogax-oblasti-4076.html"
"ИНФОРМКУРЬЕР"	"9.10.2014"	"Noname"	"Район: день за днем"	"2014/October/3002.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2226-informkurer.html"
"«ВСЕЙ СЕМЬЕЙ НА ВЫБОРЫ!»"	"13.03.2015"	"Noname"	"Народ и власть"	"2015/March/3003.txt"	"http://desnyanka.ru/narod_i_vlast/2856-vsej-semej-na-vibori.html"
"РАЗВЕДЧИЦА НИНА САЗОНОВА"	"13.03.2015"	"Noname"	"«Творцы Победы»"	"2015/March/3004.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/2855-razvedchicza-nina-sazonova.html"
"ОНФ ПОМОЖЕТ ВОССТАНОВИТЬ СПРАВЕДЛИВОСТЬ В ВОПРОСЕ ПРИСВОЕНИЯ ИМЕНИ ОРМЕНСКОЙ ШКОЛЕ"	"13.03.2015"	"Noname"	"Народ и власть"	"2015/March/3005.txt"	"http://desnyanka.ru/narod_i_vlast/2854-onf-pomozhet-vosstanovit-spravedlivost-v-voprose-prisvoeniya-imeni-ormenskoj-shkole.html"
"БОЛЬШАЯ ДРУЖНАЯ СЕМЬЯ"	"13.03.2015"	" Нина БЕЛИКОВА"	"Наши земляки"	"2015/March/3006.txt"	"http://desnyanka.ru/nashi_zemlyaki/2853-bolshaya-druzhnaya-semya.html"
"C ЮБИЛЕЕМ!"	"13.03.2015"	"Noname"	"Наши земляки"	"2015/March/3007.txt"	"http://desnyanka.ru/nashi_zemlyaki/2852-yubileem.html"
"«ТАНЦЕВАЛЬНАЯ СТРАНА»"	"13.03.2015"	"Noname"	"К 70-летию Великой Победы"	"2015/March/3008.txt"	"http://desnyanka.ru/k-70-letiyu-velikoy-pobedyi/2851-tanczevalnaya-strana.html"
"СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ ГРАЖДАН"	"13.03.2015"	"Директор КЦСОН"	"Службы информируют"	"2015/March/3009.txt"	"http://desnyanka.ru/sluzhbi_informiruut/2850-soczialnoe-obsluzhivanie-grazhdan.html"
"ДОБРО БЕЗ ГРАНИЦ"	"16.01.2015"	"И.В. Гусарова"	"Район: день за днем"	"2015/January/3010.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2529-dobro-bez-granicz.html"
"РОССИЯ-ГЕРМАНИЯ: НАШ МОСТИК ДРУЖБЫ"	"16.01.2015"	"И.А. Омельченко"	"Наши земляки"	"2015/January/3011.txt"	"http://desnyanka.ru/nashi_zemlyaki/2528-rossiyagermaniya-nash-mostik-druzhbi.html"
"И СНОВА СПАСИБО ДЕПУТАТУ!"	"16.01.2015"	"Владимир Крутиков"	"Письмо в газету"	"2015/January/3012.txt"	"http://desnyanka.ru/pismo_v_gaztu/2527-i-snova-spasibo-deputatu.html"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"16.01.2015"	"Noname"	"Народ и власть"	"2015/January/3013.txt"	"http://desnyanka.ru/narod_i_vlast/2526-v-bryanskoj-oblastnoj-dume.html"
"КАЖДЫЙ ДОЛЖЕН ОБЛАДАТЬ КУЛЬТУРНЫМ КРУГОЗОРОМ"	"16.01.2015"	" Пресс-цент"	"Разное"	"2015/January/3014.txt"	"http://desnyanka.ru/raznoe/2525-kazhdij-dolzhen-obladat-kulturnim-krugozorom.html"
"СОБЛЮДАЙТЕ ОСТОРОЖНОСТЬ НА ДОРОГАХ"	"16.01.2015"	"А.Ю. Червяков"	"Происшествия"	"2015/January/3015.txt"	"http://desnyanka.ru/proishestviya/2524-soblyudajte-ostorozhnost-na-dorogax.html"
"СТАНЬ ЧЕМПИОНОМ!"	"16.01.2015"	"    И.А. Абалухова"	"Спорт"	"2015/January/3016.txt"	"http://desnyanka.ru/sport/2523-stan-chempionom.html"
"СНЕЖНОЕ КОРОЛЕВСТВО"	"16.01.2015"	"Владимир Левин"	"Это интересно"	"2015/January/3017.txt"	"http://desnyanka.ru/eto_interesno/2522-snezhnoe-korolevstvo.html"
"НОВОГОДНИЙ УТРЕННИК"	"16.01.2015"	"    Е.М. Лазутина"	"Разное"	"2015/January/3018.txt"	"http://desnyanka.ru/raznoe/2521-novogodnij-utrennik.html"
